"N","freshwater source","type of average","x (lon)","y (lat)","side","vertical cells","horizontal cells","discharge","O2o","N1p","N3n","N4n","O4n","N5s","N6r","B1c","B1n","B1p","P1c","P1n","P1p","P1l","P1s","P2c","P2n","P2p","P2l","P3c","P3n","P3p","P3l","P4c","P4n","P4p","P4l","Z3c","Z3n","Z3p","Z4c","Z4n","Z4p","Z5c","Z5n","Z5p","Z6c","Z6n","Z6p","R1c","R1n","R1p","R1s","R2c","R6c","R6n","R6p","R6s","R7c","O3c","O3h"
1,"Krka","yearly clim.",465,38,"N",2,1,39,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
2,"Zrmanja","yearly clim.",420,103,"E",2,1,30,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
3,"HPP Senj + Crikvenica","yearly clim.",325,217,"E",2,1,64,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
4,"Bakarac + Rjecina","yearly clim.",287,243,"N",2,1,13,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
5,"Rasa","yearly clim.",237,197,"N",2,1,5,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
6,"Mirna","yearly clim.",182,237,"E",2,1,9,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
7,"Dragonja","yearly clim.",182,258,"E",2,1,8,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
8,"Rizana","yearly clim.",200,268,"E",2,1,4,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
9,"Timavo","daily data",184,296,"E",2,1,32,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
10,"Isonzo","daily data",166,294,"N",2,1,102,250,2.572,150,34.121,0,150,0,1,0.017,0.0019,1,0.0125786163522013,0.000786163522012579,0.02,0.0125786163522013,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.5,0.00628930817610063,0.000393081761006289,0.01,0.1,0.0015,0.000167,0.1,0.0015,0.000167,0.1,0.00167,0.000185,0.1,0.00167,0.000185,0,0,0,0,0,0,0,0,0,0,33225,2800
