ir;rivername;jir;jjr;runoffFactor;catchment;lon mouth;lat mouth;side;jia;jja;nw;nz;S;T0;TD;O2o;N1p;N3n;N4n;O4n;N5s;N6r;B1c;B1n;B1p;P1c;P1n;P1p;P1l;P1s;P2c;P2n;P2p;P2l;P3c;P3n;P3p;P3l;P4c;P4n;P4p;P4l;Z3c;Z3n;Z3p;Z4c;Z4n;Z4p;Z5c;Z5n;Z5p;Z6c;Z6n;Z6p;R1c;R1n;R1p;R2c;R3c;R6c;R6n;R6p;R6s;O3c;O3h;O5c
0;Foglia;415;245;1;693000000;12.90296739;43.9252875;W;82;58;1;2;15;10;5;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0
1;Reno + Lamone;377;205;1;961000000;12.28249866;44.52707444;W;3;143;1;2;15;10;5;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0
2;Po;337;187;1;71400000000;12.53661795;44.96713385;W;4;190;2;3;15;10;5;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0
3;Adige;380;171;1;13900000000;12.33163902;45.1623382;W;10;216;1;2;15;10;5;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0
4;Brenta;374;169;1;4470000000;12.30867239;45.18201196;W;8;220;1;2;15;10;5;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0
5;Sile;385;147;1;524000000;12.58372364;45.47995942;N;46;263;1;2;15;10;5;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0
6;Piave;404;149;1;4520000000;12.73102769;45.53270909;N;65;269;1;2;15;10;5;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0
7;Livenza;412;145;1;2460000000;12.86368887;45.59032962;N;83;277;1;2;15;10;5;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0
8;Tagliamento;427;142;1;2820000000;13.1003319;45.64408751;N;113;283;1;2;15;10;5;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0
9;Isonzo;453;137;1;3440000000;13.55256778;45.72567141;N;166;294;1;2;15;10;5;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0
