ir;rivername;jir;jjr;runoffFactor;catchment;lon mouth;lat mouth;side;jia;jja;nw;nz;S;T0;TD;O2o;N1p;N3n;N4n;O4n;N5s;N6r;B1c;B1n;B1p;P1c;P1n;P1p;P1l;P1s;P2c;P2n;P2p;P2l;P3c;P3n;P3p;P3l;P4c;P4n;P4p;P4l;Z3c;Z3n;Z3p;Z4c;Z4n;Z4p;Z5c;Z5n;Z5p;Z6c;Z6n;Z6p;R1c;R1n;R1p;R2c;R3c;R6c;R6n;R6p;R6s;O3c;O3h;O5c;;;;;;;;;;
0;Metauro;423;251;1;1.38E+09;13.05708596;43.83025562;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
1;Foglia;415;245;1;6.93E+08;12.90296739;43.9252875;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
2;Marecchia;394;236;1;6.15E+08;12.5639617;44.07741835;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
3;Savio;381;221;1;8.54E+08;12.34484423;44.32078674;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
4;Fiumi uniti;379;217;1;1.26E+09;12.32321036;44.4001114;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
5;Lamone;377;211;1;9.61E+08;12.28249866;44.52707444;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
6;Reno;377;205;1;6.35E+09;12.28132054;44.62582017;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
7;Po;337;187;1;7.14E+10;12.53661795;44.96713385;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
8;Adige;380;171;1;1.39E+10;12.33163902;45.1623382;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
9;Brenta;374;169;1;4.47E+09;12.30867239;45.18201196;0;0;0;0;0;0;0;0;240;1.904838098;124.2262631;24.84525263;0;124.2262631;0;1;0.017;0.0019;10;0.125786164;0.007861635;0.2;0.125786164;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;5;0.062893082;0.003930818;0.1;0.1;0.0015;0.000167;0.1;0.0015;0.000167;0.1;0.00167;0.000185;0.1;0.00167;0.000185;0;0;0;0;2290;1520;0;0;0;36080;3010;0;;;;;;;;;;
